avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.2,12.1,23.9,0,7629
1,12.3,23.7,0,7629
0.9,13.1,22.6,0.1,7629
1,13.1,23.7,0.6,11678
1.6,10.6,21.7,0.5,12410
0.7,9.2,19.9,0,12410
1.1,9.4,22.3,0,12011
1,9.2,23.2,0,12011
1.1,12.3,22.6,12.9,12011
1.8,15.3,23.5,6.7,12011
1.9,13.1,19,2.3,10425
1,11.4,20.5,0.1,10425
1,10.4,22.8,0,10025
0.8,11.3,24.1,0,9626
1.1,14.1,22.7,3.9,9583
0.9,14.4,23.7,0.7,9583
1.1,13,24.6,0,9583
0.8,12.5,22.5,0.1,9000
0.9,13.3,22.9,0,8500
1.1,12.7,20.8,0.3,7600
1.1,11.4,20.9,0,6800
1.9,9.1,19.1,0,6100
1.2,8.2,21.9,0,6100
0.9,9.2,22.2,0.1,6100
0.9,8.9,21.7,0.1,5014
0.9,9.4,22.7,0,4729
0.9,10.5,21.9,0,4356
1.7,10.8,21.3,1.1,3860
0.9,10.8,22.1,0,3770
0.7,9.9,20.8,0.3,3770
0.7,13.5,20.5,8.1,3770
2.2,7.8,17.9,0.3,3688
1.8,0.8,9.8,0,3647
0.9,-0.5,13.3,0,3653
1.1,1.8,14.7,0,3698
1.1,1.3,17.3,0,3614
1.1,5.7,18.2,0,3614
0.9,5.8,17.9,0.6,3614
1.5,5.7,17.6,0,3594
2.4,3.1,12.6,0,3412
1.2,0.2,14,0,3362
1,2.5,16.9,0,3222
1.1,4.6,17.7,0,3184
0.8,5.2,18.1,0,3184
0.7,5.7,17.8,0.4,3184
3.1,4.5,14,1.5,3111
4.5,3.3,9.9,0.1,3154
1.6,0.2,12.3,0,3079
0.9,1.6,16.5,5.5,3142
2.6,4.3,15.3,0.3,3190
0.9,1.8,16.3,0,3190
1.9,5.2,14.4,0,3190
2.4,-0.9,8.8,0,3329
1,-2.7,10.6,0,3435
0.8,-0.1,12.6,0,3561
0.7,-0.6,13.4,0,3820
0.5,-0.9,12.2,0,3784
0.8,0,16,0,3784
0.8,2.4,17.3,0,3784
2.1,2.1,14.3,1.3,3958
0.8,-1.5,13.2,0,3927
0.6,1.6,13.8,0,3845
2,1.1,10.4,0,3610
1.3,-2.7,7.6,0,3670
1.5,-3.3,10.8,1.3,3670
2,-3.1,5.8,0.2,3670
1.1,-1.5,11.9,0.9,3657
0.7,2.3,15.1,0.6,3546
0.7,2.1,15.3,0,3411
0.4,3.6,13.2,1.2,3459
4.3,-0.4,10,0.6,3595
0.9,-2.7,10.2,0,3595
0.3,1.1,14.6,0,3595
2.3,0.3,12.1,1,3582
1.1,-2.7,6,0.3,3552
0.7,-3.5,5.9,2.1,3552
2.1,-3.8,5,0.1,3709
0.5,-5,11.4,0.5,3679
3.7,-4.7,9.8,0,3679
0.9,-7.4,4.8,0.1,3679
0.4,0.9,5.8,11.9,3633
3.2,-5,5.7,0,3509
3.1,-8.7,-2.4,0.1,3573
1.8,-10,0,0,3616
1.3,-4.9,4.7,0.8,3616
0.6,-4.6,8.1,0,3616
0.4,-1.6,11.3,0,3616
0.7,-0.4,11.8,0,3616
0.7,-1.9,11,0,3616
1,-1.1,10.6,0,3408
2.2,-3.7,7.9,0,3455
3.5,-9.5,-2.7,0,3398
3.5,-11,-3.1,0.4,3398
2.6,-9.6,-1,0.9,3398
1.1,-6.6,3.6,0.6,3576
1.5,-3.4,4.7,3.8,3576
1.6,-5.8,1.8,0.2,3576
1.9,-6.4,1,4,3599
1.9,-9.3,-2.3,1,3601
0.8,-10.4,0.7,0.4,3601
0.9,-9.5,3.6,0,3601
0.6,-8.5,1.8,1.8,4252
1.2,-6.8,2.2,0,4168
2.8,-4,2.5,0,4376
1.5,-7.3,-0.5,0.1,4609
1.1,-10.8,0.6,0,4609
1.2,-10,3.4,0,4609
2.7,-8.2,1.4,0,4609
1.1,-11.8,-0.8,0,4399
1.2,-9.5,1.5,0.4,4423
2.3,-9.2,-1.1,0,4495
0.8,-11.6,1.4,0,4521
0.9,-9.5,3.5,0.1,4521
3.7,-13,-1.8,0.2,4521
1.7,-14.8,-5.2,0.1,4521
1.2,-13.2,-0.6,0,4832
1.3,-10.6,0.5,0,4888
1.8,-8.6,0.8,0,5083
1.7,-9.3,-0.9,0,4551
1.2,-9.6,0.8,0,4451
1,-8.9,3,0,4451
0.8,-6.6,2.7,1.4,4451
2.3,-8.2,-1.4,0.3,5104
1.3,-10.7,-0.3,0,5251
2.2,-10.5,-0.4,0,5075
1.6,-10.5,-0.5,0,5234
1.6,-8.2,0.4,0,5234
2.6,-10.5,-2,0.2,5234
2.3,-11.8,-2.8,0.2,5234
1.6,-11.9,1.3,0,5221
